,ETH Wallet Address,Total GXC tokens
1,0xF8e67A68882147172192C35eBCC7739E739A3dBa,1668
2,0x8D16c79D64a155556D33A3bF86f79B299226f3Bb,17514
3,0x541079DB0Ec4E5B1773fc3a0A9F97fF8aa5161A2,14178
4,0xCC858D2a4c300aaFEEcA15308F3A1b066b68e2Cb,5004
5,0x0FDc1fBe330DE4E2612eb73ab716bD40474e0908,27522
6,0x3974586436f2708B31182abF2d6ad67F33b644dB,5004
7,0x07f8442a109D08eA801D7390bC3b299a422a5385,15012
8,0x6086D973e49CbD211eb73EacF15eE9cad4f09190,17514
9,0x7A246Ac42e457d0655763b27EeE935b2E7b049Be,17514
10,0xfFe1Ce2814116b47B5f4D20A208B773dcc1fEF20,4170
11,0xd5D829aB0c5a049C15aE257a9b9324Be53698957,5004
12,0x8619970fDdF64303e3bCBcf29C062a9258Fae1fa,8340
13,0xf420D6A889F1dE72DA85898A1A59B75D310ac017,15012
14,0xcec87c07a6946ec56e4efcc22adc040b4c4c4fbc,5004
15,0x311F79eFd68b90612c4727c5E2C93aD90C8cc8cF,15012
16,0x71178dF72385a84c6B8bD99293f6930D7e4C0770,1668
17,0x941E920177FF53B3AAF805fA424d4E6469Fe38d8,3336
18,0xfE924cf73f5024c5EA2779e1A9840Bb766621A02,4170
19,0xED00eC9D16D493CBB794c93047373A55e16B76f0,15012
20,0x101fe02a2609f83d1de962f0fba979f409bd8ef6,20016
21,0xa6e168c2BE683F08758DEAAcE720A18b27BC48cE,35862
22,0x6165F4e452EE21bFcb8A7B3432dCB6FB43a7B98d,15012
23,0xA725DA2193683301F0494a72890E6079D7484059,7506
24,0xb88414446dd58b9656f8dccdbde14b638b360baf,20016
25,0x9DCB4971D65E16DCA35EFA08c6633bb6492117f1,25854
26,0x07ebcd63626dd867d5fbd72c072ed387d76495f4,10842
27,0xd60E0fC0f194aA6073a7D70d519e802715C6b54f,25020
28,0xcc8d96De41A4Cd3b8Aca5BB3884DA127204c68f6,17514
29,0x320133b502b1d6aedfaa804947c1f5933fe9d055,1668
30,0x947f81C43DbAa6ddE8423b6DA915AB2f4Fc8240D,3336
31,0xd5B7Ef43ccd9eA358bB3F0BCab4aF5c51b4a1348,7506
32,0x96AE9516a634d6B2FCe594d00751dD18dA96E089,5004
33,0xe1be656cf3664862742e0acf20780dd32676daa2,17514
34,0x777e5BdB46F98417F31249FbD735FC6C32443D0A,32526
35,0x4aF0968677d8Fc4A60Fb5E8229EbD2730844c06F,12510
36,0x65aD52B5540eD79F295E9f3842d0762d9Ce8343D,10842
37,0x56D18AEf3Ff077826dD50c68cef9ddC84a6827ee,20016
38,0xc2f1617286d09eaFA50025D23cb2b227FB153436,6672
39,0xB513a138D09eD70913acFaF0C1104d037FBFd0DA,6672
40,0x2376bc6f5F1Dc4395D0fff93BCbB20FcF6789568,2940
41,0x2981f6554aC5519Fec7ba96a3A799d81C683199C,2940
42,0x98431802e341318d06763d2c4be5bbd9eeaf1ebf,2940
43,0xA7c80D6293E03Cf4E158E0D059e9CAfd9e264e1f,1960
44,0x005da2Bea4480501EaeD4d902Fbe390ad914A85D,980
45,0xDdE65B61ebBC4464eD7E313f1811353f99ccd214,980
46,0x0D4Ba9D03055eEBA96aFFE66e43847B4b54F9D42,980
47,0xdCFad490Ee26e80AE33120072e2c594CCa249736,1960
48,0x0c49d7f01E51FCC23FBFd175beDD6A571b29B27A,980
49,0x4429128EdEe19eBaD7A8970De248319C9329dF4C,980
50,0x380634d15eAc7dbb92D680eB007504332E9D3404,980
51,0x541079DB0Ec4E5B1773fc3a0A9F97fF8aa5161A2,980
52,0xd5399174196C84c0b4AC6BE0785781dA80e1A941,980
53,0x9dA16Cf53BB488510F630B709Bc3658D5072a0D4,1960
54,0x47FC4431f83670D2d3e6f96AfE128b6F810e0D19,980
55,0x25c2d29A726276ed0cFb7c2bdCFeFFca40eCD02C,1960
56,0x1521E5141545090bc80FaFA7c2a5f4b75221c845,980
57,0x17A7d45565B76D56C31E3B2f9F469500F046132c,980
58,0xe2664b96525249d43Ef8574424cdb030d8e06c93,1960
59,0xfE924cf73f5024c5EA2779e1A9840Bb766621A02,980
60,0xd3D6f9328006290F963676868E087d18c07d23a6,1960
61,0xf0834afeF4286bD8b94840E0252CDFa7cEE121B7,1960
62,0x6a3f9fa682cdeb2b76db8ba24a3eed8cfcdaeb40,1960
63,0xBa1ffB8993063cd5402CCB84f4330177D4410fFd,1960
64,0xDedb6039f564d50f107D6C27794Cd2C283E878d0,980
65,0x91406B5d57893E307f042D71C91e223a7058Eb72,1960
66,0xD110a0298FBdB68B9f3B937B3a04cc65b65559b2,1960
67,0x3D17c00506572Bd93869D7818cE71Ae1822c139E,980
68,0x24214beCA1324144342d0609cb4a4E96679DF478,1960
69,0x2CF4F93348116B2Ce67Ecb7A9eA57E10Bf0f81A2,980
70,0x140ab25e99b3776512B886eec9CA59a3377E4B22,1960
71,0x24CE9603B309b6290259b65d187EEcD451209Be7,1960
72,0x2F9B776432EabE67a9e4aD241A6354FA1DFED26d,1960
73,0xBC20E58b158F98f783Bf65f335652878ee452A69,980
74,0xFD32326dcE91AFFDb445C522857417909cc6aa89,1960
75,0xCE5a4c272220cd126b3326001E4dB31c4715476e,1960
76,0x0Ca083FC25fb3B87b12847ebF21C7821565391E4,1960
